Industry_of_Project,Employee_Count,team_size_grown,Number_of_Co_founders,customer_satisfaction_score,churn_rate,scalability_score,monthly_recurring_revenue,burn_rate,business_sustainability_score,User_Adoption_Rate,Revenue_Growth,Market_Competition,customer_acquisition_cost,Dependent_Project_Status,revenue_to_burn_ratio,revenue_per_employee,satisfaction_adoption_product,churn_competition_risk,growth_sustainability_score,team_growth_efficiency
Security,112,3,2,7.2,0.01,75,67208,33017,97,0.845,10.43,3,76,1,2.035495790175056,594.7610619469026,6.084,0.03,19.8171,1.7842831858407078
Retail,41,1,3,7.39,0.01,97,73104,18911,65,0.928,15.1,1,181,1,3.8654822335025383,1740.5714285714287,6.85792,0.01,16.315,1.7405714285714287
Healthcare,25,1,1,3.64,0.518,31,5775,10064,24,0.24,-11.78,4,139,0,0.5737704918032787,222.1153846153846,0.8736,2.072,-0.42719999999999986,0.2221153846153846
Retail,91,2,2,7.84,0.056,70,92972,33542,90,0.899,43.09,2,98,1,2.771725844438482,1010.5652173913044,7.04816,0.112,47.781000000000006,2.021130434782609
Marketing,67,2,2,8.17,0.041,73,81173,23283,95,0.931,16.16,2,84,1,3.4862137089847107,1193.7205882352941,7.60627,0.082,24.851999999999997,2.3874411764705883
Gaming,65,0,2,6.06,0.128,68,35558,13715,54,0.613,6.63,3,69,0,2.5924467774861477,538.7575757575758,3.7147799999999997,0.384,8.9802,0.0
Music,44,1,2,2.12,0.383,43,11631,14814,39,0.22,-4.55,3,150,0,0.7850826864664192,258.46666666666664,0.46640000000000004,1.149,2.1255,0.2584666666666666
Retail,74,3,2,7.21,0.02,98,96816,47271,98,0.877,21.6,2,107,1,2.0480622778811983,1290.88,6.32317,0.04,30.968000000000004,3.8726400000000005
Email,82,2,3,7.28,0.053,94,86059,4046,87,0.898,30.31,1,101,1,21.264887571040276,1036.855421686747,6.53744,0.053,35.069700000000005,2.073710843373494
Publishing,77,4,3,7.74,0.023,86,55246,26137,85,0.973,15.37,3,85,1,2.113627668528579,708.2820512820513,7.53102,0.069,21.5645,2.833128205128205
Career Services,126,3,3,6.56,0.016,93,151461,43636,83,0.906,10.8,1,115,1,3.470930632261613,1192.6062992125985,5.94336,0.016,17.264,3.5778188976377954
Analytics,18,0,1,4.28,0.285,35,19881,28390,38,0.214,6.09,5,124,0,0.7002571237363954,1046.3684210526317,0.9159200000000001,1.4249999999999998,6.114199999999999,0.0
Network Infrastructure,81,4,3,7.82,0.038,68,116547,37350,86,0.908,37.02,1,105,1,3.120318063773393,1421.3048780487804,7.100560000000001,0.038,40.437200000000004,5.685219512195122
Music,105,4,2,6.82,0.04,69,58577,10715,79,0.859,8.34,2,60,1,5.466312056737588,552.6132075471698,5.85838,0.08,14.488599999999998,2.210452830188679
Cloud Computing,112,4,2,8.38,0.038,89,206645,82206,83,0.927,59.64,3,106,1,2.5137153770360188,1828.716814159292,7.7682600000000015,0.11399999999999999,57.8012,7.314867256637168
Gaming,59,0,3,7.14,0.205,53,28009,21637,69,0.59,4.44,3,67,1,1.2944357149459285,466.81666666666666,4.212599999999999,0.615,9.963600000000001,0.0
Career Services,71,2,2,8.22,0.036,86,82139,35200,83,0.947,11.58,2,106,1,2.333428027612852,1140.8194444444443,7.78434,0.072,17.9114,2.2816388888888888
Email,169,3,3,8.86,0.044,96,98092,28957,71,0.845,12.22,3,59,1,3.3873886318115893,577.0117647058823,7.486699999999999,0.132,15.7762,1.731035294117647
Mobile,78,2,3,8.48,0.019,93,50115,14097,85,0.863,35.54,1,71,1,3.554759540360335,634.367088607595,7.31824,0.019,38.709,1.2687341772151899
Music,15,1,1,3.02,0.249,45,9021,9740,35,0.218,10.35,4,173,0,0.9260856174930705,563.8125,0.6583600000000001,0.996,7.1225,0.5638125
Music,85,2,3,8.04,0.036,72,90044,15081,65,0.822,34.25,1,63,1,5.970295716748442,1047.0232558139535,6.608879999999999,0.036,28.7625,2.094046511627907
Healthcare,12,0,1,2.74,0.212,27,16711,25692,32,0.311,-6.98,3,323,0,0.6504106176779667,1285.4615384615386,0.85214,0.636,0.9663999999999998,0.0
Email,30,0,2,4.73,0.333,34,31650,40770,46,0.237,1.65,3,286,0,0.7762870667876677,1020.9677419354839,1.12101,0.9990000000000001,5.359,0.0
E-Commerce,94,2,1,9.19,0.046,97,64998,9647,89,0.965,32.0,2,80,1,6.736940298507463,684.1894736842105,8.86835,0.092,37.38,1.368378947368421
Cloud Computing,52,2,3,9.31,0.033,76,66196,13672,92,0.806,7.1,2,90,1,4.841366196153002,1248.9811320754718,7.503860000000001,0.066,15.732000000000001,2.4979622641509436
Pharmaceuticals,61,4,1,8.94,0.032,79,83993,14450,100,0.917,10.01,2,106,1,5.81226212718843,1354.725806451613,8.19798,0.064,20.009999999999998,5.418903225806452
Cloud Computing,25,2,1,6.71,0.161,54,26308,21324,53,0.603,-0.68,3,113,0,1.2336694021101993,1011.8461538461538,4.04613,0.483,4.9396,2.0236923076923077
Enterprise Software,86,2,1,7.48,0.02,93,85092,13453,94,0.961,11.2,1,73,1,6.324661810613944,978.0689655172414,7.18828,0.02,19.928,1.9561379310344829
Security,11,0,1,5.75,0.27,47,9604,10060,36,0.159,2.99,4,166,0,0.9545770798131399,800.3333333333334,0.91425,1.08,4.6764,0.0
Enterprise Software,15,0,2,5.66,0.214,47,9124,14261,41,0.207,0.35,4,208,0,0.6397419716729772,570.25,1.1716199999999999,0.856,4.2435,0.0
Software Development,8,0,1,5.19,0.278,19,14362,16816,46,0.135,-3.74,4,180,0,0.8540167687459119,1595.7777777777778,0.7006500000000001,1.112,2.8796,0.0
Email,7,0,1,4.23,0.37,54,12229,18798,33,0.182,-2.18,5,356,0,0.6505133251768711,1528.625,0.7698600000000001,1.85,2.5806,0.0
Finance,14,0,1,4.99,0.293,26,11297,14632,45,0.206,6.23,5,236,0,0.7720221417344358,753.1333333333333,1.02794,1.4649999999999999,7.3035000000000005,0.0
Real Estate,5,0,1,3.74,0.344,19,19907,29646,29,0.309,-5.47,3,152,0,0.6714676021182582,3317.8333333333335,1.1556600000000001,1.032,1.3137,0.0
Pharmaceuticals,21,1,2,4.99,0.316,28,6707,7873,31,0.373,-5.39,5,162,0,0.8517907035814072,304.8636363636364,1.86127,1.58,1.4291,0.3048636363636364
Email,64,3,2,7.48,0.045,97,58120,8339,80,0.903,8.92,2,105,1,6.968824940047962,894.1538461538462,6.754440000000001,0.09,15.136000000000001,2.6824615384615385
Healthcare,141,4,2,7.17,0.017,64,143201,31667,79,0.797,58.85,2,229,1,4.521946444360237,1008.4577464788732,5.7144900000000005,0.034,54.39149999999999,4.033830985915493
Enterprise Software,99,1,2,6.51,0.059,79,94131,26763,88,0.854,10.02,2,137,1,3.517075175609027,941.31,5.559539999999999,0.118,17.6176,0.94131
Mobile,81,4,3,8.34,0.019,94,179527,47477,88,0.954,9.52,2,109,1,3.7812671131892666,2189.3536585365855,7.956359999999999,0.038,17.177599999999998,8.757414634146341
Email,57,3,1,7.11,0.032,77,39789,7715,84,0.882,39.4,2,43,1,5.156687402799378,686.0172413793103,6.27102,0.064,41.495999999999995,2.0580517241379312
Gaming,10,1,1,7.14,0.451,36,6677,8660,39,0.257,-0.94,4,185,0,0.770927144671516,607.0,1.83498,1.804,3.5334000000000003,0.607
Email,53,2,1,8.07,0.013,77,62301,19974,92,0.936,17.04,1,60,1,3.1189486858573217,1153.7222222222222,7.553520000000001,0.013,24.8768,2.307444444444444
Food & Beverages,47,3,2,8.93,0.021,97,189415,28084,79,0.841,19.79,3,131,1,6.744347516467865,3946.1458333333335,7.510129999999999,0.063,23.5341,11.8384375
Software Development,116,3,1,8.08,0.016,86,75904,15660,99,0.905,14.16,1,81,1,4.846689228018645,648.7521367521367,7.3124,0.016,23.918400000000002,1.9462564102564102
Transportation,170,4,1,7.6,0.046,76,69538,20344,88,0.852,17.16,2,98,1,3.4179405259277464,406.65497076023394,6.475199999999999,0.092,23.9008,1.6266198830409357
Publishing,10,0,1,3.92,0.482,32,15625,17367,42,0.287,-13.72,3,148,0,0.8996430216490097,1420.4545454545455,1.1250399999999998,1.446,-1.5624000000000005,0.0
Advertising,52,3,2,8.21,0.032,99,108857,27270,94,0.782,12.55,3,129,1,3.9916761394888343,2053.9056603773583,6.4202200000000005,0.096,21.197000000000003,6.1617169811320744
Network Infrastructure,48,2,1,8.45,0.026,94,162983,76601,77,0.864,31.43,2,102,1,2.1276598522231795,3326.183673469388,7.3008,0.052,31.9011,6.652367346938776
Gaming,71,3,2,9.17,0.073,80,110075,20737,65,0.963,18.79,1,98,1,5.307888899604591,1528.8194444444443,8.83071,0.073,18.7135,4.586458333333333
Mobile,68,3,3,9.76,0.01,81,117395,37545,80,0.94,23.51,2,89,1,3.1266979172215414,1701.376811594203,9.174399999999999,0.02,26.808000000000003,5.104130434782609
E-Commerce,95,3,2,6.83,0.037,67,85103,32555,99,0.888,12.75,1,89,1,2.6140496375476103,886.4895833333334,6.06504,0.037,22.5225,2.65946875
Publishing,6,0,1,3.79,0.464,18,9781,11788,47,0.097,-11.91,4,197,0,0.8296717278819238,1397.2857142857142,0.36763,1.856,-0.8977,0.0
Finance,20,0,2,5.32,0.461,51,19019,19511,33,0.18,-0.31,5,259,0,0.9747334973349734,905.6666666666666,0.9576,2.305,3.1976999999999998,0.0
Retail,83,3,2,7.74,0.024,75,84789,36052,65,0.821,20.71,1,80,1,2.3517876459656617,1009.3928571428571,6.35454,0.024,19.9615,3.0281785714285716
Healthcare,131,1,3,7.56,0.074,76,78954,27157,72,0.937,56.02,2,130,1,2.9072096619780545,598.1363636363636,7.0837200000000005,0.148,47.534400000000005,0.5981363636363636
